,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
81,RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,81,2579,799182,False,False,False,False,False,True,False,True,False,False,False,False,False,19.99,19.99,15.975648179999999
87,X3: Terran Conflict,Oct 16 2008,73,1262,544147,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99,15.99,8.70091053
88,X: Beyond the Frontier,Oct 8 2010,67,136,206611,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,4.99,1.03098889
89,X: Tension,Oct 8 2010,0,0,199975,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,4.99,0.99787525
90,X Rebirth,Nov 15 2013,33,5637,218806,False,False,True,False,False,False,False,True,False,False,False,False,False,29.99,29.99,6.5619919399999995
150,Garrys Mod,Nov 29 2006,0,237684,12790674,False,True,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,127.77883326
157,City Life 2008,Sep 29 2008,0,0,24212,False,False,False,False,False,True,False,True,False,False,False,False,False,9.99,9.99,0.24187788000000002
199,Nexus - The Jupiter Incident,Jul 3 2007,77,333,81604,False,True,False,False,False,True,False,True,False,False,False,False,False,9.99,9.99,0.81522396
270,GTR 2 FIA GT Racing Game,Dec 12 2012,0,132,91468,False,False,False,False,False,False,False,True,False,False,True,True,False,7.99,7.99,0.7308293200000001
298,Tycoon City: New York,Mar 12 2008,67,0,24392,False,False,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,0.24367608000000002
301,Codename: Panzers - Cold War,May 6 2009,0,0,34435,False,False,False,False,False,True,False,True,False,False,False,False,False,14.99,14.99,0.51618065
323,PT Boats: Knights of the Sea,Oct 28 2011,0,0,9326,False,False,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,0.09316674000000001
324,PT Boats: South Gambit,Oct 28 2011,0,0,8788,False,False,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,0.08779212
342,Pacific Storm,Jun 24 2008,67,0,49500,False,False,False,False,False,True,False,True,False,False,False,False,False,7.99,7.99,0.395505
343,Pacific Storm Allies,Aug 18 2008,60,0,55419,False,False,False,False,False,True,False,True,False,False,False,False,False,7.99,7.99,0.44279781
353,Hospital Tycoon,Feb 13 2009,51,349,208046,False,False,False,False,False,False,False,True,False,False,False,False,False,4.99,4.99,1.03814954
389,Ride! Carnival Tycoon,Jul 29 2008,0,0,31027,False,False,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,0.30995973
396,Fetch It Again,Jul 17 2009,0,0,3587,False,False,False,False,True,False,False,True,False,False,False,False,False,6.99,6.99,0.025073130000000002
397,Miss Popularity,Jul 17 2009,0,0,1076,False,False,False,False,True,False,False,True,False,False,False,False,False,6.99,6.99,0.007521239999999999
